"sample_month","party_brand_index_10","q1_stance_republican_10","q1_stance_democratic_10","post_breakpoint","affiliation_recognizability","conditional_psi","observed_unconditional_psi","ingroup_self_positioning","emotional_intensity","outgroup_construction","republican_skew","democratic_skew","direction_slope"
"2022-03",4.303174699727,3.67321874709326,1.6763207584785,0,0.543369179776624,0.162043629980007,0.0882538226625921,0.016501827591041,0.186891307717136,0.282737754631843,0.191319404435977,0.755652256775994,-0.0415519678517278
"2022-04",5.20434050283039,4.1447340463216,1.22599285235391,0,0.563589480078837,0.169073033683992,0.0950322290179789,0.0211311598300946,0.185631812278279,0.300456128943602,0.154111652162706,0.799624868988977,-0.0472682789109214
"2022-05",5.57207347683465,4.90965246976188,1.23948264593713,0,0.580423528543691,0.159561243885433,0.0927064850316397,0.0194291418647402,0.199756601142503,0.259497988649057,0.318705299621063,0.633909088672841,-0.0446901354310986
"2022-06",4.42758810589872,2.54661107224478,1.13152790642297,0,0.401951083227429,0.141734205240981,0.0552017430938556,0.0281978410157053,0.168465412309148,0.228539362398088,0.233587838803279,0.714749763951945,-0.0307870642171221
"2022-07",5.61929996959973,5.21444757974423,1.2447162384105,0,0.523158444012229,0.129727771498956,0.066996993401642,0.0187915807743003,0.140728413786574,0.229663319935994,0.33310714535296,0.605290486280665,-0.034135485226003
"2022-08",5.33869749222182,3.30933612837639,0.960018929212431,0,0.365965345351697,0.124088993569733,0.0441525953864398,0.0164281353481614,0.147901423285675,0.207937422075361,0.215888556898032,0.751827816954304,-0.0412110112629088
"2022-09",5.38995358496404,5.26345476384259,1.22982098938562,0,0.567334684740892,0.189631119534324,0.107656106554532,0.0136901021162645,0.212279389089119,0.342923867397589,0.107718878946815,0.854652562722566,-0.0625278189710457
"2022-10",6.45606647562939,5.94455566058908,2.01007876396608,0,0.528090659481083,0.171853473153025,0.0900977707331433,0.0312575260055564,0.201365214084176,0.282937679369343,0.150056423782831,0.803493542471654,-0.0447850983832058
"2022-11",5.2616024215582,5.9128593392043,2.34414986347361,0,0.563622554153671,0.163203043566916,0.0907857568049032,0.0152357773996811,0.185366478964103,0.289006874336965,0.149674746938155,0.810546957471949,-0.0338890660002652
"2022-12",6.4108962067478,5.47050685868323,1.3083433162824,0,0.618353128122214,0.192773949812703,0.119894820656579,0.0125465837684542,0.220666429473187,0.345108836196467,0.0849606915586912,0.883124332171851,-0.0540294711262298
"2023-01",5.4067472173348,4.86579155303269,1.68614369087248,0,0.486074936413796,0.165453407174144,0.078864168372309,0.0142069724951928,0.1849317945517,0.297221454475538,0.171205326787613,0.779464943022682,-0.0444634432147573
"2023-02",5.41008891906186,4.89397307140431,1.35523583948138,0,0.626039070919569,0.169404533970998,0.106141783297269,0.0134994048504599,0.195496195776767,0.299218001285767,0.13333880766702,0.820588330136895,-0.0373101600265306
