"method_id","derivative_id","role","sample_month","conditional_psi_mean","ci_lower","ci_upper","confidence_level","interval_method","quantile_type","bootstrap_stage","bootstrap_seed","bootstrap_replications","bootstrap_valid_replications","resampling_unit"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2023-11",0.166490924095523,0.15657532799823,0.180965450285706,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2023-12",0.186361223970535,0.170099202985726,0.197127206386169,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-01",0.17092439634254,0.150331947844715,0.192127517256985,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-02",0.185236386514372,0.17100937832053,0.197873219651455,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-03",0.179743674186453,0.169038584338115,0.195301389600025,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-04",0.164755240739371,0.156163360327458,0.174666265278489,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-05",0.155298331003184,0.118476866627026,0.188856468413013,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-06",0.176061170490195,0.145505240811099,0.195458403806266,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-07",0.124691094788071,0.117008348125722,0.130924452229386,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-08",0.137503562457083,0.113832531651545,0.171401847257295,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-09",0.172957257837883,0.159558386605533,0.186198651708624,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-10",0.172564523368476,0.148150036105543,0.197830222897657,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-11",0.143621585607036,0.133604862843154,0.151161713268861,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
"P4-METHOD-2026-08-04-v3","P4-MONTHLY-CPS-DISPLAY-INTERVAL-2026-08-17-v1","descriptive_figure_support_not_confirmatory_inference","2024-12",0.133844268328781,0.121399276060428,0.145069959552654,0.95,"pointwise_percentile_bootstrap",6,"initial",20260804,10000,10000,"submission_id"
