"outcome","outcome_label","predictor","n_months","predictor_estimate","predictor_std_error","predictor_p_value","breakpoint_estimate","breakpoint_std_error","breakpoint_p_value","r_squared"
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10",34,0.059908861777814,0.02730340492341,0.0358424339088852,0.00461812835840595,0.0329008966291506,0.889279833142965,0.217930665472678
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10",34,0.00674005108995778,0.00671875844033956,0.323545855897545,-0.00626352552560069,0.00809617619274705,0.445003647444013,0.0324609063713158
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10",34,0.0140711268871749,0.00724011220017301,0.0610830564430487,-0.00298005807452471,0.00872441308142875,0.734973988363929,0.140332258037643
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10",34,0.00161111802797385,0.00215771254753405,0.460883311980673,-0.00137535385372944,0.0026000668297957,0.600594632451826,0.0178485371248891
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10",34,0.00742027258164889,0.00703849600801879,0.299920350110935,-0.00334542068607038,0.00848146340114394,0.695957490233527,0.0381863803189232
"outgroup_construction_mean","Out-group Construction","party_brand_index_10",34,0.0111887626602506,0.0150686113762698,0.46336129767359,-0.0140698020370022,0.0181578387979889,0.444292281187406,0.0223333660567981
"rep_skew_mean","Republican Skew","q1_stance_republican_10",34,-0.0271524377696165,0.0165077002623865,0.110108122358885,0.0232192939762987,0.0267462795748178,0.391993420009265,0.0802701673410576
"dem_skew_mean","Democratic Skew","q1_stance_democratic_10",34,0.0593995003557779,0.0333518427136977,0.0847150570855713,-0.0173800099673492,0.0261233938192159,0.51077578577,0.100901721912509
"direction_slope","Conditional Partisan Strength Direction Slope","party_brand_index_10",34,-0.0064214804884589,0.00422116220700782,0.138330689290475,0.0080557492325881,0.00508654586551457,0.123403643112698,0.0872844560438785
