outcome,outcome_label,predictor,predictor_label,sample_month,predictor_value,case_value,n_cases
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-06,4.4275881058987245,0.14173420524098054,407
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-07,5.619299969599727,0.129727771498956,1539
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-08,5.338697492221824,0.12408899356973269,306
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-09,5.389953584964042,0.18963111953432402,1790
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-10,6.456066475629389,0.17185347315302546,5249
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-11,5.2616024215582,0.1632030435669164,1117
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-12,6.410896206747798,0.1927739498127027,3741
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-01,5.406747217334802,0.16545340717414359,1613
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-02,5.410088919061863,0.1694045339709978,6233
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-03,6.163854851328894,0.17666205454989867,7551
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-04,5.408680911376589,0.16851088005298448,954
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-05,5.042631333593673,0.14796910454169027,879
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-06,5.189977194931201,0.15419235509043616,1639
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-07,4.795353131489422,0.17035983228916782,1360
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-08,5.293995340976904,0.17227675353584676,1377
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-09,6.2455384413298445,0.1620448154303743,3278
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-10,6.148653650269567,0.15254134150976859,3566
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-11,5.75910398908809,0.16649092409552294,1604
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-12,6.11984321948073,0.1863612239705349,3697
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-01,5.86446518557328,0.17092439634254025,1011
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-02,6.130124558145313,0.18523638651437244,7496
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-03,6.3341715009507515,0.17974367418645282,2218
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-04,5.588053555436853,0.16475524073937103,6724
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-05,5.403774135246251,0.15529833100318446,280
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-06,6.823354445533982,0.1760611704901954,2128
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-07,6.5349630608167315,0.1246910947880714,6196
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-08,6.474803131349269,0.13750356245708334,335
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-09,6.153512440852972,0.17295725783788304,3410
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-10,6.02671736550006,0.1725645233684763,824
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-11,6.306219466032603,0.14362158560703622,9036
conditional_psi_mean,Conditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2024-12,6.16353611998906,0.13384426832878132,2197
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-03,4.303174699727004,0.08825382266259212,48622
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-04,5.204340502830389,0.09503222901797889,9182
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-05,5.572073476834651,0.09270648503163972,10468
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-06,4.4275881058987245,0.05520174309385558,1045
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-07,5.619299969599727,0.06699699340164203,2980
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-08,5.338697492221824,0.044152595386439765,860
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-09,5.389953584964042,0.10765610655453217,3153
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-10,6.456066475629389,0.09009777073314329,10012
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-11,5.2616024215582,0.0907857568049032,2008
