year_month,polarization,pol_ci_lower,pol_ci_upper,rep_raw_iqr,rep_raw_iqr_ci_lower,rep_raw_iqr_ci_upper,dem_raw_iqr,dem_raw_iqr_ci_lower,dem_raw_iqr_ci_upper,rep_n_articles,dem_n_articles,P,P_ci_lower,P_ci_upper,C_R,C_R_ci_lower,C_R_ci_upper,C_D,C_D_ci_lower,C_D_ci_upper,party_brand_index,pbi_ci_lower,pbi_ci_upper,max_pol_used,k_used,P_bootstrap_valid,C_R_bootstrap_valid,C_D_bootstrap_valid,pbi_bootstrap_valid
2022-03,19.968979886147594,15.738562713504086,24.262572654282575,61.25,48.333333333333336,70.0,20.0,16.0,23.33333333333333,258,953,0.4296060276237941,0.30104600618623795,0.5123466079657868,0.31635856295779563,0.28267301475749773,0.3743698083780775,0.5862960568842922,0.5459098921966113,0.6422589589419282,43.031746997270034,38.08171329160825,45.69165518639882,46.48207567430694,28.34375,5000,5000,5000,5000
2022-04,29.187411939676807,21.62974476134275,35.96966730593862,54.22222222222223,40.0,65.0,15.0,10.0,20.0,71,469,0.6279283254084586,0.41641767468719426,0.7609775646453941,0.3432860927709323,0.29731372387832306,0.40239562396511064,0.6539293439077145,0.577913971341679,0.746031746031746,52.043405028303894,44.98312080554706,56.732242651651916,46.48207567430694,28.34375,5000,5000,5000,5000
2022-05,36.701698238247516,31.671693703863756,41.75514027909105,56.25,40.61979166666667,65.0,15.0,10.0,20.0,119,398,0.7895881951445308,0.5848359673457031,0.8894691831706182,0.3350572589582564,0.2999738894033165,0.4069546113912741,0.6539293439077145,0.578019658951732,0.7398389088396226,55.72073476834652,49.143267721832025,61.57270233993375,46.48207567430694,28.34375,5000,5000,5000,5000
2022-06,14.150831658218094,-0.42578573326407476,31.593191625181895,36.666666666666664,10.0,90.0,15.0,12.0,20.0,15,247,0.3044363112648171,0.021318850206868703,0.6442230812500302,0.43598782246434875,0.2420201953221118,0.7290718579956399,0.6539293439077145,0.5761566008021887,0.6984170591313448,44.275881058987245,20.087406549228294,52.00872111438071,46.48207567430694,28.34375,5000,5000,5000,5000
2022-07,39.69731341333724,16.17254550628105,60.60302859917933,72.5,5.0,80.0,10.0,10.0,20.0,12,121,0.8540348690856766,0.3367369321185766,1.0,0.28106600557793615,0.2526340505806687,0.8489235302504634,0.73920130399348,0.5789473684210527,0.7479015231683313,56.19299969599727,41.08035917827288,84.9074198244318,46.48207567430694,28.34375,5000,4989,5000,4989
2022-08,23.493171991639585,5.044576354083075,43.098970431324645,41.25,10.0,82.5,10.0,10.0,15.0,15,119,0.5054243307947945,0.1014655201851631,0.8880354360280908,0.4072743601257297,0.2546478576692283,0.73734610123119,0.73920130399348,0.6423243329338619,0.749456830191215,53.38697492221824,36.298318617058854,60.96996057303828,46.48207567430694,28.34375,5000,5000,5000,5000
2022-09,40.33633774456976,30.37168079898251,48.97849876477676,63.75,25.0,70.0,20.0,10.0,20.0,29,163,0.8677826271615007,0.5801171719522858,1.0,0.3077706141839158,0.28066698863927586,0.5238095238095238,0.5862960568842922,0.5685393258426966,0.7330404173372799,53.89953584964042,47.52699206227355,67.51464052498869,46.48207567430694,28.34375,5000,5000,5000,5000
2022-10,39.344768966229985,34.11364586632637,44.57383346652505,23.92857142857143,15.499492296918767,39.54250408496731,20.0,13.333333333333329,30.0,87,202,0.8464503444706942,0.6285133801450737,0.9507514212505501,0.5422324707489965,0.4136825235094291,0.646566656286015,0.5862960568842922,0.4802432940415781,0.6815649406598293,64.56066475629389,54.1247642760061,70.96622136307619,46.48207567430694,28.34375,5000,5000,5000,5000
2022-11,35.68709475730685,29.531834725200188,41.41661361044005,32.5,22.493750000000002,37.1875,41.25,23.33333333333333,50.0,91,142,0.7677603514817425,0.5576244622391009,0.8841816627306156,0.4658448895737031,0.43006341570085277,0.5605372477705721,0.4072743601257297,0.3548387096774194,0.5438763400424915,52.616024215582,45.881602940049326,60.12188351271718,46.48207567430694,28.34375,5000,5000,5000,5000
2022-12,41.621635424008375,36.834028634356066,46.4376209646408,33.75,26.25,37.5,15.625,10.0,20.0,97,236,0.8954340962663768,0.6723309989926485,0.9953929025262209,0.45646703573225966,0.4239039257107649,0.5176470588235295,0.644633972992182,0.5750303443457135,0.7355371900826446,64.10896206747798,56.920522683081366,68.87044955777468,46.48207567430694,28.34375,5000,5000,5000,5000
2023-01,31.796478621602077,23.720911263716154,39.208101034511145,47.5,31.25,67.5,17.5,14.583333333333332,22.5,57,218,0.6840589229361296,0.45787312944339686,0.8269743966795112,0.37371240214256285,0.2906708125966421,0.47056380244692037,0.6182685753237901,0.5491057216095078,0.6631593476444735,54.06747217334802,43.95422168981299,60.95314352333954,46.48207567430694,28.34375,5000,5000,5000,5000
