year_month,party,dimension,mean,raw_iqr,n_articles
2023-04,democrat,q4,18.444822954342918,20.0,37
2023-04,republican,q1,56.858974807268815,32.5,30
2023-04,republican,q2,43.41160882460232,19.125,15
2023-04,republican,q3,60.9410856239073,30.0,7
2023-04,republican,q4,54.901496496605574,42.5,11
2023-05,democrat,q1,21.756948504492904,27.500000000000004,147
2023-05,democrat,q2,13.879296483506517,16.25,72
2023-05,democrat,q3,14.771631781520194,22.5,28
2023-05,democrat,q4,11.434820823461697,10.0,55
2023-05,republican,q1,49.25624974026392,38.03125,46
2023-05,republican,q2,34.88929080611284,55.0,28
2023-05,republican,q3,49.32344497368182,82.8125,10
2023-05,republican,q4,38.370306490345754,57.5,18
2023-06,democrat,q1,19.088951581066723,15.0,121
2023-06,democrat,q2,17.39271005709866,20.0,70
2023-06,democrat,q3,9.05632298143727,10.0,32
2023-06,democrat,q4,12.793649410755048,20.0,54
2023-06,republican,q1,44.802193661448314,45.0,57
2023-06,republican,q2,32.46685298290887,47.5,38
2023-06,republican,q3,17.472795858266466,23.75,14
2023-06,republican,q4,40.66944255011521,44.6875,22
2023-07,democrat,q1,18.96629056508042,23.541666666666664,256
2023-07,democrat,q2,20.39927281176154,30.83333333333333,195
2023-07,democrat,q3,7.0016802983439375,10.0,84
2023-07,democrat,q4,7.548372014387355,10.0,142
2023-07,republican,q1,48.34937071163618,60.416666666666664,92
2023-07,republican,q2,30.302309434084584,50.0,62
2023-07,republican,q3,18.180590314600302,20.0,23
2023-07,republican,q4,43.49300706329264,37.5,41
2023-08,democrat,q1,24.241151085718222,28.208333333333332,120
2023-08,democrat,q2,29.635560504893434,50.0,72
2023-08,democrat,q3,17.065136626187925,20.0,33
2023-08,democrat,q4,13.768222827721887,20.0,63
2023-08,republican,q1,54.02223429926914,33.0,86
2023-08,republican,q2,37.812500175152344,58.75,50
2023-08,republican,q3,26.25783895230449,50.0,21
2023-08,republican,q4,46.00119644188783,51.25,40
2023-09,democrat,q1,14.671421165327924,16.666666666666668,252
2023-09,democrat,q2,14.13981049038205,15.625,132
2023-09,democrat,q3,8.381233358133924,10.0,46
2023-09,democrat,q4,14.782218733595428,20.0,94
2023-09,republican,q1,55.94335287094118,36.70833333333333,178
2023-09,republican,q2,34.3424632695711,50.0,84
2023-09,republican,q3,27.16889488121944,25.0,19
2023-09,republican,q4,52.89597130160673,41.25,76
2023-10,democrat,q1,15.028303597083568,20.0,255
2023-10,democrat,q2,11.16452922606653,10.0,86
2023-10,democrat,q3,27.202159759957496,49.0,38
2023-10,democrat,q4,18.604519657862777,23.75,148
2023-10,republican,q1,55.80844394220451,34.37499999999999,236
2023-10,republican,q2,33.82384276020797,56.5625,70
2023-10,republican,q3,36.10869776465478,50.0,26
2023-10,republican,q4,51.185630873394096,40.0,128
2023-11,democrat,q1,16.99494860851647,20.0,109
2023-11,democrat,q2,28.799874728031657,50.0,43
2023-11,democrat,q3,35.050203013317095,32.5,24
2023-11,democrat,q4,27.65717809440184,50.0,70
2023-11,republican,q1,52.9377900564317,38.92857142857143,147
2023-11,republican,q2,36.112296003074334,50.0,51
2023-11,republican,q3,30.864014826361075,50.0,13
2023-11,republican,q4,58.24378091244771,35.0,74
2023-12,democrat,q1,15.297099645913717,20.0,240
2023-12,democrat,q2,13.297327628798332,20.0,114
2023-12,democrat,q3,11.452799606733317,10.0,39
2023-12,democrat,q4,27.774082401951777,50.0,130
2023-12,republican,q1,55.72038070735756,34.70833333333333,258
2023-12,republican,q2,33.59272765684376,50.0,86
2023-12,republican,q3,13.517214235460727,21.25,24
2023-12,republican,q4,73.18177084424585,12.232142857142861,178
2024-01,democrat,q1,16.29459131642009,20.0,106
2024-01,democrat,q2,14.48702283039046,13.75,42
2024-01,democrat,q3,20.851020670016943,50.0,15
2024-01,democrat,q4,28.33080679487881,40.0,59
2024-01,republican,q1,55.69711309529663,41.5,138
2024-01,republican,q2,27.632228050446987,45.0,46
2024-01,republican,q3,19.67071159162382,50.0,13
2024-01,republican,q4,64.01301017580923,30.0,81
2024-02,democrat,q1,15.428430264617646,20.0,259
2024-02,democrat,q2,17.152763779421537,20.0,127
2024-02,democrat,q3,10.956919103332627,15.0,45
2024-02,democrat,q4,24.431597861756696,40.0,135
2024-02,republican,q1,57.31763139278454,36.666666666666664,455
2024-02,republican,q2,29.844186990464955,50.0,179
2024-02,republican,q3,18.677049678712738,41.66666666666667,63
2024-02,republican,q4,53.938858501527804,50.833333333333336,247
2024-03,democrat,q1,16.052096694223177,13.333333333333332,93
2024-03,democrat,q2,11.498738153312226,10.0,54
2024-03,democrat,q3,8.87403856384223,10.0,25
2024-03,democrat,q4,16.21743782503281,10.0,44
